1	100	7	26
2	100	10	38
3	101	98	26
4	101	99	18
5	102	15	23
6	102	26	31
7	103	31	35
8	103	32	19
9	104	63	22
10	104	64	11
11	105	94	35
12	105	101	13
13	106	93	35
14	106	95	34
15	107	73	38
16	107	104	5
17	108	91	10
18	108	92	22
19	109	39	48
20	109	103	24
21	110	66	21
22	110	69	31
23	111	16	19
24	111	17	29
25	112	33	29
26	112	34	24
27	113	86	39
28	113	105	0
29	114	85	39
30	114	87	23
31	115	84	39
32	115	114	1
33	116	67	39
34	116	70	8
35	117	36	20
36	117	112	2
37	118	71	28
38	118	110	20
39	119	72	47
40	119	116	3
41	120	20	28
42	120	111	1
43	121	78	39
44	121	106	4
45	122	35	39
46	122	44	35
47	123	113	14
48	123	118	3
49	124	75	14
50	124	77	25
51	125	74	22
52	125	119	10
53	126	37	33
54	126	117	0
55	127	107	9
56	127	124	4
57	128	121	9
58	128	125	0
59	129	18	32
60	129	59	15
61	130	42	41
62	130	126	0
63	131	80	30
64	131	127	6
65	132	9	32
66	132	12	29
67	133	19	33
68	133	29	23
69	134	40	53
70	134	109	1
71	135	115	14
72	135	131	13
73	136	41	48
74	136	134	2
75	137	21	27
76	137	120	6
77	138	49	71
78	138	136	1
79	139	60	48
80	139	128	3
81	140	83	61
82	140	129	12
83	141	58	41
84	141	139	2
85	142	45	33
86	142	130	1
87	143	56	24
88	143	57	38
89	144	55	57
90	144	135	1
91	145	54	48
92	145	144	1
93	146	11	36
94	146	100	11
95	147	52	57
96	147	145	0
97	148	51	59
98	148	147	0
99	149	50	21
100	149	62	56
101	150	138	11
102	150	143	32
103	151	48	51
104	151	148	1
105	152	96	44
106	152	141	0
107	153	46	30
108	153	47	26
109	154	142	10
110	154	153	14
111	155	22	29
112	155	137	0
113	156	108	38
114	156	151	2
115	157	53	47
116	157	122	4
117	158	23	43
118	158	155	0
119	159	5	28
120	159	132	11
121	160	89	39
122	160	146	6
123	161	24	34
124	161	158	14
125	162	154	22
126	162	156	4
127	163	161	29
128	163	162	15
129	164	13	31
130	164	159	0
131	165	25	20
132	165	65	32
133	166	152	9
134	166	157	17
135	167	6	79
136	167	163	0
137	168	133	10
138	168	164	6
139	169	61	42
140	169	123	0
141	170	150	5
142	170	168	40
143	171	27	59
144	171	166	0
145	172	169	33
146	172	170	7
147	173	14	50
148	173	140	0
149	174	79	62
150	174	171	0
151	175	102	30
152	175	174	6
153	176	38	63
154	176	175	0
155	177	68	70
156	177	176	2
157	178	30	26
158	178	43	40
159	179	3	91
160	179	172	6
161	180	167	23
162	180	179	14
163	181	97	51
164	181	149	13
165	182	28	39
166	182	165	15
167	183	90	49
168	183	160	0
169	184	1	53
170	184	183	0
171	185	76	58
172	185	173	0
173	186	0	25
174	186	4	45
175	187	180	14
176	187	185	61
177	188	178	17
178	188	184	7
179	189	81	55
180	189	188	5
181	190	2	52
182	190	181	1
183	191	187	5
184	191	190	73
185	192	177	2
186	192	186	35
187	193	182	88
188	193	191	0
189	194	8	21
190	194	82	39
191	195	88	59
192	195	192	3
193	196	193	0
194	196	194	97
195	197	195	64
196	197	196	6
197	198	189	76
198	198	197	6
