49	1000	23338
13	1000	22481
36	1000	22484
4	1000	24136
20	1000	23411
8	1000	24174
16	1000	25323
15	1000	22756
29	1000	21803
28	1000	24689
38	1000	23686
33	1000	21167
21	1000	23936
19	1000	25831
48	1000	22088
6	1000	20575
44	1000	23496
1	1000	23266
27	1000	23554
37	1000	24273
24	1000	22138
2	1000	23968
35	1000	21497
40	1000	23485
11	1000	23116
9	1000	24810
25	1000	24262
31	1000	24166
47	1000	22843
42	1000	24745
5	1000	23475
22	1000	24376
41	1000	23272
7	1000	23330
45	1000	24432
43	1000	22666
0	1000	24423
18	1000	23052
12	1000	20589
10	1000	22704
46	1000	24020
30	1000	23407
34	1000	20641
14	1000	22469
17	1000	21715
3	1000	24204
26	1000	24221
39	1000	21632
32	1000	22549
23	1000	25242
92	1000	22749
70	1000	22314
94	1000	22939
93	1000	25903
87	1000	23993
98	1000	21099
99	1000	22708
88	1000	21238
96	1000	24255
97	1000	22690
65	1000	23490
51	1000	27215
90	1000	25014
85	1000	22462
86	1000	25075
58	1000	24489
80	1000	26247
89	1000	22965
91	1000	23136
83	1000	22916
95	1000	25624
59	1000	22855
77	1000	23017
84	1000	23381
50	1000	23049
67	1000	23918
60	1000	22374
76	1000	24146
78	1000	24591
64	1000	24967
55	1000	22113
79	1000	21904
74	1000	22195
57	1000	21717
66	1000	22132
75	1000	26379
82	1000	23663
63	1000	22409
56	1000	21710
72	1000	21239
71	1000	22102
69	1000	23956
68	1000	24793
54	1000	23951
52	1000	23372
73	1000	22984
61	1000	22427
53	1000	23341
62	1000	26261
81	1000	23976
145	1000	22897
104	1000	23807
142	1000	23747
102	1000	20616
138	1000	24428
110	1000	24373
108	1000	22006
114	1000	23779
149	1000	24046
122	1000	24152
123	1000	23670
112	1000	22254
148	1000	21069
135	1000	24279
126	1000	24470
131	1000	24304
120	1000	26902
133	1000	21428
140	1000	24712
136	1000	22479
121	1000	23619
105	1000	25780
111	1000	20532
118	1000	21954
109	1000	23173
143	1000	23070
125	1000	22163
130	1000	22298
113	1000	24037
116	1000	24119
103	1000	25131
132	1000	24841
100	1000	22700
128	1000	24035
107	1000	22851
127	1000	25376
146	1000	25546
117	1000	23849
137	1000	21737
139	1000	21552
101	1000	22691
134	1000	23065
144	1000	23259
129	1000	23605
115	1000	22930
147	1000	21564
106	1000	24101
119	1000	23098
141	1000	21996
124	1000	22023
198	1000	24380
170	1000	21864
154	1000	21719
186	1000	22700
175	1000	25784
185	1000	21436
159	1000	22827
178	1000	22508
180	1000	20374
177	1000	22607
161	1000	23266
188	1000	24592
176	1000	21320
171	1000	24072
163	1000	22036
169	1000	22571
173	1000	24812
155	1000	22869
