43,14,15,13,16,15,12,10,14,12,8,16,14,13,15,15,19,19,17,15,12,17,14,21,12,16,16,47,20,31,42,17,19,27,47,21,42,41,22,44,29,44,46,47,43,16,39,44,45,20,19
97,12,14,15,16,17,14,12,17,10,12,14,15,15,14,12,15,20,16,14,6,19,18,17,15,16,16,48,17,31,42,19,15,29,48,19,40,40,24,43,29,43,47,47,42,19,39,44,47,17,20
88,15,14,16,14,16,13,11,16,9,13,13,15,16,12,13,16,16,14,14,13,15,16,17,13,13,13,49,17,30,43,17,16,28,49,21,42,41,22,43,27,44,48,48,44,19,38,43,47,16,16
82,13,16,17,17,18,13,10,15,12,10,20,13,16,13,12,16,17,11,19,13,16,15,18,13,17,17,49,17,32,43,18,16,28,49,22,42,43,24,44,30,45,48,47,44,20,38,44,47,18,17
90,11,13,14,17,17,16,10,15,9,7,21,13,13,14,14,17,19,14,15,13,18,15,16,12,14,14,48,17,31,43,20,17,30,49,20,41,42,23,44,28,45,48,47,43,17,39,44,48,16,19
81,13,15,16,16,18,13,10,14,10,11,17,14,13,12,8,19,19,14,16,7,17,19,18,11,13,13,47,18,30,43,18,19,29,47,20,41,41,24,44,27,44,46,46,41,20,39,44,47,18,19
76,12,13,13,16,17,13,10,15,14,11,20,13,13,12,11,16,20,13,17,13,15,16,16,14,15,15,48,18,30,43,18,16,27,48,19,42,41,22,44,29,45,47,48,44,20,39,43,48,16,20
28,13,15,15,16,18,11,12,13,10,11,19,15,14,14,10,19,19,14,15,12,18,14,17,13,13,13,48,20,30,43,20,18,28,48,23,42,42,23,44,27,45,47,47,43,17,39,43,48,17,19
79,13,15,15,15,17,11,11,20,9,15,16,15,13,12,12,19,21,14,18,12,17,14,15,13,13,13,49,20,30,43,21,19,30,49,18,41,41,24,44,32,44,48,48,43,17,40,43,48,15,21
68,13,13,14,14,16,14,19,17,9,11,17,14,16,12,9,21,17,7,16,12,20,20,17,17,13,13,47,17,30,43,22,21,28,47,22,45,43,22,44,29,45,47,47,45,20,39,42,46,17,17
38,15,18,15,17,18,11,10,19,9,11,18,13,13,12,11,19,20,14,14,12,18,15,16,12,13,13,49,17,31,42,19,19,27,49,21,41,42,22,44,29,45,47,47,44,18,39,44,48,16,20
