,MPJS
Muscle_Skeletal,0.24
Whole_Blood,0.22
Skin_Sun_Exposed_Lower_leg,0.23
Thyroid,0.23
Lung,0.22
Stomach,0.21
Pancreas,0.2
Pituitary,0.22
Brain_Cerebellum,0.2
Brain_Cortex,0.21
