1	100	27	33
2	100	35	34
3	101	44	38
4	101	100	8
5	102	53	49
6	102	101	3
7	103	58	41
8	103	102	6
9	104	60	52
10	104	103	2
11	105	67	59
12	105	104	0
13	106	70	31
14	106	105	3
15	107	72	67
16	107	106	0
17	108	74	36
18	108	107	4
19	109	78	62
20	109	108	0
21	110	93	62
22	110	109	0
23	111	95	61
24	111	110	0
25	112	96	53
26	112	111	0
27	113	6	25
28	113	16	15
29	114	17	30
30	114	113	5
31	115	20	28
32	115	114	0
33	116	21	27
34	116	115	6
35	117	22	29
36	117	116	0
37	118	23	43
38	118	117	0
39	119	24	34
40	119	118	14
41	120	33	50
42	120	119	0
43	121	34	45
44	121	120	0
45	122	36	40
46	122	121	1
47	123	37	53
48	123	122	0
49	124	42	61
50	124	123	0
51	125	45	53
52	125	124	1
53	126	46	55
54	126	125	1
55	127	47	57
56	127	126	6
57	128	48	53
58	128	127	1
59	129	51	62
60	129	128	0
61	130	50	21
62	130	62	56
63	131	52	60
64	131	129	0
65	132	54	52
66	132	131	1
67	133	55	65
68	133	132	3
69	134	63	66
70	134	133	2
71	135	5	21
72	135	9	36
73	136	12	40
74	136	135	7
75	137	13	31
76	137	136	0
77	138	19	43
78	138	137	6
79	139	29	33
80	139	138	0
81	140	31	44
82	140	139	5
83	141	15	23
84	141	26	31
85	142	7	26
86	142	10	38
87	143	32	35
88	143	140	7
89	144	39	58
90	144	143	18
91	145	40	62
92	145	144	0
93	146	41	55
94	146	145	0
95	147	49	77
96	147	146	0
97	148	56	60
98	148	147	9
99	149	57	75
100	149	148	1
101	150	61	68
102	150	149	0
103	151	66	70
104	151	150	0
105	152	69	80
106	152	151	0
107	153	71	63
108	153	152	6
109	154	86	85
110	154	153	0
111	155	94	82
112	155	154	1
113	156	98	86
114	156	155	0
115	157	99	78
116	157	156	0
117	158	11	36
118	158	142	11
119	159	89	39
120	159	158	6
121	160	14	22
122	160	18	16
123	161	59	16
124	161	160	17
125	162	25	20
126	162	65	32
127	163	64	55
128	163	134	0
129	164	73	78
130	164	163	1
131	165	75	49
132	165	164	0
133	166	77	60
134	166	165	0
135	167	80	56
136	167	166	1
137	168	84	66
138	168	167	0
139	169	85	67
140	169	168	0
141	170	87	60
142	170	169	9
143	171	91	67
144	171	170	2
145	172	92	79
146	172	171	0
147	173	83	61
148	173	161	11
149	174	0	22
150	174	1	30
151	175	112	3
152	175	174	31
153	176	2	45
154	176	130	7
155	177	3	33
156	177	30	21
157	178	4	48
158	178	141	2
159	179	8	79
160	179	157	0
161	180	38	33
162	180	68	38
163	181	79	45
164	181	180	7
165	182	172	3
166	182	176	41
167	183	28	39
168	183	162	15
169	184	76	58
170	184	173	0
171	185	81	34
172	185	90	40
173	186	82	98
174	186	179	1
175	187	182	18
176	187	184	45
177	188	175	2
178	188	181	22
179	189	159	67
180	189	187	12
181	190	88	53
182	190	188	2
183	191	97	44
184	191	183	7
185	192	186	43
186	192	189	14
187	193	178	35
188	193	190	6
189	194	43	48
190	194	177	13
191	195	192	6
192	195	193	69
193	196	185	17
194	196	194	10
195	197	191	93
196	197	195	1
197	198	196	80
198	198	197	0
