40,49
0,28
0,39
41,42
0,45
0,46
41,43
41,44
41,45
41,46
41,47
41,49
1,26
1,27
1,29
1,33
1,35
1,36
1,38
1,40
1,41
1,42
1,43
1,45
42,43
1,47
42,44
42,45
42,46
42,47
42,49
2,26
2,29
2,33
2,35
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,46
2,47
43,44
43,45
43,46
43,47
43,49
3,26
3,29
3,33
3,35
3,36
3,38
3,39
3,40
3,41
3,42
3,43
3,45
3,46
3,47
44,45
44,46
44,47
4,26
4,29
4,30
4,32
4,33
4,35
4,38
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
45,46
45,47
45,48
45,49
5,26
5,29
5,33
5,36
5,40
5,41
5,42
5,43
5,46
5,47
46,47
46,49
6,26
6,29
6,33
6,40
6,41
6,42
6,43
6,45
6,46
6,47
47,49
7,26
7,28
7,29
7,30
7,33
7,35
7,36
7,38
7,41
7,42
7,43
7,46
8,45
9,38
9,39
9,45
10,26
10,28
10,29
10,33
10,35
10,36
10,38
10,40
10,41
10,42
10,43
10,45
10,47
11,26
11,27
11,29
11,33
11,35
11,36
11,38
11,40
11,41
11,42
11,43
11,46
11,47
12,29
12,34
12,37
12,38
12,40
12,45
12,46
13,28
13,29
13,36
13,45
13,46
14,28
14,34
15,28
15,29
15,31
15,32
15,34
15,36
15,38
15,39
15,46
16,26
16,28
16,33
16,35
16,36
16,37
16,38
16,40
16,41
16,42
16,43
16,45
16,46
16,47
16,49
17,27
17,28
17,36
18,26
18,29
18,32
18,33
18,35
18,38
18,39
18,40
18,41
18,42
18,43
18,45
18,47
20,26
20,28
20,29
20,32
20,33
20,35
20,36
20,38
20,39
20,40
20,41
20,42
20,43
20,46
20,47
21,26
21,32
21,33
21,35
21,36
21,38
21,40
21,41
21,42
21,43
21,44
21,45
21,46
21,47
22,29
22,35
22,37
22,39
22,45
22,48
23,26
23,32
23,33
23,35
23,36
23,38
23,40
23,41
23,42
23,43
23,47
24,25
24,26
24,29
24,32
24,33
24,35
24,36
24,38
24,40
24,41
24,42
24,46
24,47
25,26
25,29
25,32
25,33
25,35
25,36
25,38
25,40
25,41
25,42
25,46
25,47
26,27
26,28
26,29
26,30
26,32
26,33
26,34
26,35
26,36
26,37
26,38
26,39
26,40
26,41
26,42
26,43
26,44
26,45
26,46
26,47
26,49
27,29
27,33
27,35
27,36
27,38
27,40
27,41
27,42
27,43
27,46
27,47
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
28,38
28,39
28,40
28,41
28,42
28,43
28,45
28,46
28,47
28,49
29,30
29,31
29,32
29,33
29,34
29,35
29,36
29,37
29,38
29,39
29,40
29,41
29,42
29,43
29,45
29,46
29,47
29,48
30,32
30,33
30,35
30,36
30,38
30,40
30,41
30,42
30,43
30,44
30,46
31,32
31,34
31,36
31,38
31,39
31,46
32,33
32,35
32,36
32,38
32,39
32,40
32,41
32,42
32,43
32,44
32,45
32,46
32,47
33,34
33,35
33,36
33,37
33,38
33,39
33,40
33,41
33,42
33,43
33,44
33,45
33,46
33,47
33,49
34,38
34,39
34,41
34,42
34,43
34,45
34,46
34,47
35,36
35,37
35,38
35,39
35,40
35,41
35,42
35,43
35,44
35,45
35,46
35,47
35,48
35,49
36,37
36,38
36,39
36,40
36,41
36,42
36,43
36,44
36,45
36,46
36,47
36,49
37,38
37,39
37,40
37,41
37,42
37,43
37,45
37,46
37,47
37,48
37,49
38,39
38,40
38,41
38,42
38,43
38,44
38,45
38,46
38,47
38,49
39,40
39,41
39,42
39,43
39,45
39,46
39,47
39,48
40,41
40,42
40,43
40,44
40,45
40,46
40,47
